"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"1129","25502","1008","108","1038","10.404624277","108","100"
"1129","25502","1009","105","1038","10.115606936","105","100"
"1129","25502","1010","47","1038","4.527938342","47","100"
"1129","25502","1011","38","1038","3.660886319","38","100"
"1129","25502","1012","138","1038","13.294797687","138","100"
"1129","25502","2004","80","1038","7.707129094","80","100"
"1129","25502","2007","43","1038","4.142581888","43","100"
"1129","25502","2016","99","1038","9.537572254","99","100"
"1129","25502","3016","2","1038","0.192678227","2","100"
"1129","25502","3017","6","1038","0.578034682","6","100"
"1129","25502","3019","20","1038","1.926782273","20","100"
"1129","25502","3020","31","1038","2.986512524","31","100"
"1129","25502","3021","34","1038","3.275529865","34","100"
"1129","25502","3022","46","1038","4.431599229","46","100"
"1129","25502","3023","44","1038","4.238921001","44","100"
"1131","25600","1000","38","1096","3.467153284","38","100"
"1131","25600","1003","51","1096","4.653284671","51","100"
"1131","25600","1009","140","1096","12.773722627","140","100"
"1131","25600","1010","246","1096","22.445255474","246","100"
"1131","25600","4002","91","1096","8.302919708","91","100"
"1131","25600","4003","117","1096","10.675182481","117","100"
"1131","25600","4004","122","1096","11.131386861","122","100"
"1131","25600","4005","20","1096","1.824817518","20","100"
"1131","25600","4006","144","1096","13.138686131","144","100"
"1131","25600","4007","127","1096","11.58759124","127","100"
"1132","25600","1004","105","1117","9.400179051","105","100"
"1132","25600","1005","135","1117","12.085944494","135","100"
"1132","25600","1006","81","1117","7.251566696","81","100"
"1132","25600","1007","82","1117","7.341092211","82","100"
"1132","25600","1008","11","1117","0.984780662","11","100"
"1132","25600","1011","78","1117","6.982990152","78","100"
"1132","25600","2004","67","1117","5.998209489","67","100"
"1132","25600","3000","63","1117","5.64010743","63","100"
"1132","25600","3001","66","1117","5.908683974","66","100"
"1132","25600","3002","69","1117","6.177260519","69","100"
"1132","25600","4000","161","1117","14.413607878","161","100"
"1132","25600","4001","50","1117","4.476275738","50","100"
"1132","25600","4008","57","1117","5.102954341","57","100"
"1132","25600","4009","31","1117","2.775290957","31","100"
"1132","25600","4010","61","1117","5.461056401","61","100"
"1133","26001","1000","48","1131","4.24403183","48","100"
"1133","26001","1001","99","1131","8.753315649","99","100"
"1133","26001","1002","44","1131","3.890362511","44","100"
"1133","26001","1003","104","1131","9.195402298","104","100"
"1133","26001","1004","127","1131","11.229000884","127","100"
"1133","26001","1005","90","1131","7.957559681","90","100"
"1133","26002","1001","114","1131","10.079575596","114","100"
"1133","26002","1002","56","1131","4.951370468","56","100"
"1133","26002","1003","38","1131","3.359858532","38","100"
"1133","26002","1004","113","1131","9.991158267","113","100"
"1133","26002","1005","97","1131","8.57648099","97","100"
"1133","26002","1006","111","1131","9.814323607","111","100"
"1133","26002","1007","90","1131","7.957559681","90","100"
"1134","26001","1006","115","1172","9.812286689","115","100"
"1134","26002","1000","99","1172","8.447098976","99","100"
"1134","26002","1008","85","1172","7.252559726","85","100"
"1134","26002","2000","14","1172","1.194539249","14","100"
"1134","26002","2001","130","1172","11.09215017","130","100"
"1134","26002","2002","144","1172","12.286689419","144","100"
"1134","26002","2003","11","1172","0.938566552","11","100"
"1134","26002","2006","201","1172","17.150170648","201","100"
"1134","26002","2007","101","1172","8.61774744","101","100"
"1134","26002","2008","109","1172","9.300341296","109","100"
"1134","26002","2009","163","1172","13.907849829","163","100"
"1135","25600","2005","58","970","5.979381443","58","100"
"1135","25600","2010","82","970","8.453608247","82","100"
"1135","25600","3003","79","970","8.144329896","79","100"
"1135","25600","3004","64","970","6.597938144","64","100"
"1135","25600","3005","66","970","6.804123711","66","100"
"1135","25600","3006","59","970","6.082474226","59","100"
"1135","25600","3007","76","970","7.835051546","76","100"
"1135","25600","3008","60","970","6.18556701","60","100"
"1135","25900","1007","59","970","6.082474226","59","100"
"1135","25900","1008","77","970","7.938144329","77","100"
"1135","25900","1011","90","970","9.278350515","90","100"
"1135","26002","2004","43","970","4.43298969","43","100"
"1135","26002","2005","29","970","2.989690721","29","100"
"1135","26002","2010","55","970","5.670103092","55","100"
"1135","26002","2011","55","970","5.670103092","55","100"
"1135","26002","2012","18","970","1.855670103","18","100"
"1136","26001","2000","92","1056","8.712121212","92","100"
"1136","26001","2001","139","1056","13.162878787","139","100"
"1136","26001","2002","142","1056","13.446969696","142","100"
"1136","26001","3000","74","1056","7.007575757","74","100"
"1136","26001","3001","105","1056","9.943181818","105","100"
"1136","26001","3002","112","1056","10.606060606","112","100"
"1136","26001","4000","117","1056","11.079545454","117","100"
"1136","26001","4001","155","1056","14.678030303","155","100"
"1136","26001","4002","116","1056","10.984848484","116","100"
"1136","26302","3009","2","1056","0.189393939","47","4.255319148"
"1136","60502","3001","2","1056","0.189393939","156","1.282051282"
"1137","26001","2003","119","1030","11.553398058","119","100"
