ResponseId,sex,region,age5,educ4,race5,hispanic,weduc,pres,inputregstate,ideo5,religpew,newsint,urbancity
lighted_arabianwildcat,2,3,3,4,1,2,4,1,South Carolina,Liberal,Roman Catholic,Some of the time,Rural area
travelsick_mule,1,2,1,1,1,2,1,4,Illinois,Very conservative,Nothing in particular,Some of the time,Rural area
forlorn_purplemarten,2,4,2,4,3,1,8,1,Arizona,Liberal,Agnostic,Only now and then,Rural area
otherworldly_ladybug,1,3,3,3,2,2,7,4,Florida,Liberal,Roman Catholic,Some of the time,Urban
subterraqueous_africanwildcat,2,2,2,3,5,2,7,1,Minnesota,Moderate,Nothing in particular,Most of the time,Urban
sandy_bengaltiger,1,4,5,3,1,2,3,2,California,Very conservative,Protestant,Most of the time,Suburban
gray_xerus,2,3,1,1,1,2,1,1,Florida,Liberal,Agnostic,Some of the time,Urban
current_asianlion,1,2,2,1,1,2,1,2,Ohio,Very conservative,Other,Some of the time,Rural area
heartrending_koodoo,2,4,4,3,1,2,3,2,California,Very conservative,Protestant,Most of the time,Suburban
hendecasyllabic_chupacabra,2,2,3,3,1,2,3,4,,Not sure,Roman Catholic,Only now and then,Rural area
extragalactic_megalosaurus,2,3,4,4,1,2,4,2,Texas,Conservative,Roman Catholic,Some of the time,Rural area
uncleansable_indianpangolin,1,3,4,2,1,2,2,4,,Moderate,Agnostic,Some of the time,Suburban
smug_xuanhuaceratops,1,3,5,3,1,2,3,1,Kentucky,Moderate,Protestant,Most of the time,Suburban
frostbreathing_tamarin,2,1,2,2,1,2,2,4,Maine,Not sure,Nothing in particular,Only now and then,Urban
kaolin_harrier,2,3,3,1,1,2,1,4,Arkansas,Very liberal,Other,Most of the time,Suburban
declinable_indianpalmsquirrel,2,1,2,3,1,2,3,1,Massachusetts,Moderate,Roman Catholic,Some of the time,Urban
exportable_mongrel,1,3,3,2,2,2,6,4,,Very conservative,Protestant,Most of the time,Urban
undamageable_starling,2,2,2,3,4,2,7,1,Illinois,Liberal,Hindu,Some of the time,Suburban
